Year;Region;Farmer;FlowerStrip;Transect;PlantSp;Ploidy;Fieldsize;Flowers;zFlowers;zFlowersFS;Striparea;zStriparea;plCROP1km;rounds;logrounds;Species;Bumblebees;longt;shortt;ca;di;ho;la;mu;oh;pa;pr;rd;rp;so;su;sy;terag;Honeybees;cwm_tongue;Protapion;TotalProtapion;logWFlowers;Parasitoids;Hayield;mlongt;mshortt;mHoneybees;ProtapionDensity;HBcol_ha
2009;M;18;N;interior;tripra;4n;7;145,25;-2,9889167;-3,8491987;;;0,763451256;4;1,386294361;3;44;1;42;0;0;1;8;0;1;0;0;0;0;0;0;0;34;51;5,859042553;155;171;4,094344562;16;387,75;0,25;10,5;12,75;2,85;
2009;M;18;N;edge;tripra;4n;7;147,5;-2,4264167;-3,2866987;;;0,763451256;4;1,386294361;3;37;0;36;0;0;0;10;0;0;0;0;0;0;0;0;0;27;19;6,14375;87;101;4,094344562;14;426,5;0;9;4,75;1,683333333;
2009;E;19;N;interior;tripra;4n;8;207,5;12,5735833;11,7133013;;;0,278964017;4;1,386294361;3;28;2;22;0;0;0;0;0;1;0;0;0;0;0;2;0;25;9;6,576944444;422;429;4,094344562;7;139,75;0,5;5,5;2,25;7,15;
2009;E;19;N;edge;tripra;4n;8;174,75;4,3860833;3,5258013;;;0,278964017;4;1,386294361;6;21;4;14;0;2;1;1;0;0;1;0;0;0;0;0;0;16;13;6,462647059;384;386;4,094344562;2;187;1;3,5;3,25;6,433333333;
2009;E;20;N;interior;tripra;2n;6;110;-12,32065213;-9,896296333;;;0,428322956;3;1,098612289;5;44;1;39;0;0;1;3;0;1;0;0;1;0;0;0;0;38;80;5,79282284;188;191;4,094344562;3;295,5;0,333333333;13;26,66666667;3,183333333;
2009;E;20;N;edge;tripra;2n;6;114,25;-10,90398547;-8,479629667;;;0,428322956;3;1,098612289;3;29;0;26;0;0;0;1;0;0;0;0;0;0;0;0;0;28;49;5,715512821;176;177;4,094344562;1;221;0;8,666666667;16,33333333;2,95;
2009;E;21;N;interior;tripra;2n;24;125,25;-17,6748188;-15,250463;;;0,398537795;4;1,386294361;5;35;2;30;0;1;0;2;0;0;0;0;0;0;0;1;0;31;56;5,78032967;3;4;4,094344562;1;241,5;0,5;7,5;14;0,066666667;
2009;E;21;N;edge;tripra;2n;24;173;-5,7373188;-3,312963;;;0,398537795;4;1,386294361;4;39;4;24;0;0;3;0;0;0;0;0;0;0;0;1;0;35;60;5,895959596;1;1;4,094344562;0;242;1;6;15;0,016666667;
2009;M;22;Y;interior;tripra;4n;10;111,25;-11,4889167;-12,3491987;1410;574,77;0,439836115;4;1,386294361;5;36;3;33;0;0;1;9;1;0;0;0;0;0;0;1;0;24;24;6,164333333;210;221;4,094344562;11;431,5;0,75;8,25;6;3,683333333;
2009;M;22;Y;edge;tripra;4n;10;72;-15,3014167;-16,1616987;1410;574,77;0,439836115;4;1,386294361;4;57;2;54;0;0;1;9;0;1;0;0;0;0;0;1;0;45;31;6,238045977;261;271;4,094344562;10;391,5;0,5;13,5;7,75;4,516666667;
2009;E;23;N;interior;tripra;2n;9;171;-6,2373188;-3,812963;;;0,384190898;4;1,386294361;4;39;1;27;0;0;0;3;0;1;1;0;0;0;0;0;0;34;81;5,599831933;2;3;4,094344562;1;378,25;0,25;6,75;20,25;0,05;
2009;E;23;N;edge;tripra;2n;9;111,25;-21,1748188;-18,750463;;;0,384190898;4;1,386294361;6;28;5;15;0;1;1;1;0;2;0;0;0;0;0;3;0;20;55;5,750864198;28;31;4,094344562;3;385,75;1,25;3,75;13,75;0,516666667;
2009;E;24;N;interior;tripra;2n;11;71,75;-31,0498188;-28,625463;;;0,657020196;4;1,386294361;6;46;3;42;0;0;1;3;1;0;1;0;0;0;0;0;0;40;11;6,650350877;11;20;4,094344562;9;527,25;0,75;10,5;2,75;0,333333333;
2009;E;24;N;edge;tripra;2n;11;130;-16,4873188;-14,062963;;;0,657020196;4;1,386294361;6;49;2;46;0;0;1;1;0;0;0;0;0;0;0;1;1;45;21;6,445571429;7;7;4,094344562;0;485,25;0,5;11,5;5,25;0,116666667;
2010;E;1;N;interior;tripra;4n;9;220,5;4,7985833;3,9383013;;;0,489805756;5;1,609437912;9;35;7;21;0;2;2;3;0;0;2;0;0;0;3;1;1;21;15;6,5352;18;19;4,779123493;1;105;1,4;4,2;3;0,159663866;0,888888889
2010;E;1;N;edge;tripra;4n;9;213;3,2985833;2,4383013;;;0,489805756;5;1,609437912;7;27;9;15;0;0;6;3;0;0;0;0;0;0;1;3;4;10;10;7,026756757;3;4;4,718498871;1;118,75;1,8;3;2;0,035714286;0,888888889
2010;M;2;N;interior;tripra;4n;8,4;122,75;-8,6139167;-9,4741987;;;0,703465323;4;1,386294361;4;93;2;87;0;0;0;13;0;1;0;0;0;0;0;2;0;77;47;6,247482014;0;1;5,480638923;1;637,5;0,5;21,75;11,75;0,004166667;2,976190476
2010;M;2;N;edge;tripra;4n;8,4;133,75;-5,8639167;-6,7241987;;;0,703465323;4;1,386294361;6;69;3;46;0;0;2;8;0;19;0;0;0;0;0;1;2;37;46;6,038020833;0;0;5,480638923;0;652,5;0,75;11,5;11,5;0;2,976190476
